〜	~
 \,	, 
 ；大	 大
 \^窓論	 醫窓論
 」	」
 \|	|
 «파	 α파
 → 年生	 一年生
 • 	·
 ·	·
 0자	 O자
 8형	 B형
 a파	 α파
 K門	 肛門
 M發	 竝發
 of주 	 아주 
 가 	가 
 가 느끼	가 느끼
 가 많	가 많
 가 없	가 없
 가 우선	가 우선
 가 있	가 있
 가 장	 가장
 가능동	 가 능동
 가지 고 	 가지고 
 假하	 煆하
 癎과 癎	 癲과 癎
 癎狂	 癲狂
 肝命	 肝兪
 감 기	 감기
 감 소	 감소
 疳감	 府감
 減으	 鍼으
 강 하	 강하
 皆 	 皆
 거 기	 거기
 거나 	거나 
 건 조	 건조
 乾重	 乾薑
 乾置	 乾薑
 검 사	 검사
 臉穴	 兪穴
 것 은	 것은 
 것 이	 것이
 게 	게 
 게 한	게 한
 겠	겠
 肩 痛	 肩痛
 결 체	 결체
 경 우	 경우
 竟科	 莧科
 경탁	 경락
 계 지	 계지
 故 	 故
 고 려	 고려
 고 루	 고루
 고 있	고 있
 고 주파	 고주파
 고\, 	고, 
 과 	과 
 과 다하	 과다하
 과의 	과의 
 관 심	 관심
 교 통	 교통
 구 분	 구분
 救 해	 救해
 求의 	 朮의 
 국 소	 국소
 菌片	 苞片
 그 리	 그리
 근 거	 근거
 근 위	 근위
 근 치	 근치
 根蜜	 根莖
 根塞	 根莖
 根垂	 根莖
 根楚	 根莖
 根巷	 根莖
 根華	 根莖
 급 성	 급성
 急 痛	 急痛
 기 본	 기본
 기 억	 기억
 기끔	 가끔
 기도 한다	기도한다
 기등	 기둥
 嗜血	 喀血
 긴 장	 긴장
 길 고	 길고
 까지	까지
 까지 	까지
 꿇여	 끓여
 꿇인	 끓인
 나 	나 
 나 타	 나타
 나 타나	 나타나
 나뉘 	 나눠 
 나둬 	 나눠 
 나타 나	 나타나
 暖氣	 噯氣
 내 리	 내리
 내고 	내고 
 너 무	 너무
 느 끼	 느끼
 느침	 느낌
 는 것	는 것
 는경우	는 경우
 늘 어나	 늘어나
 니 	니 
 니\,	니,
 니•	 나
 니다	니다
 닌	닌
 다 \^다	 다룬다
 다 만	 다만
 다 스	 다스
 다 양	 다양
 다 음	 다음
 다\.	다.
 다는 	다는 
 단 계	 단계
 單織	 單蛾
 달 여	 달여
 膽性	 膿性
 膽瘡	 膿瘡
 膽血	 膿血
 닷게	 낫게
 當 	 當
 대 상	 대상
 대 신	 대신
 대 체	 대체
 大 便	 大便
 대 한	 대한
 大棄	 大棗
 大論	大論
 大裏	 大棗
 大勝	 大腸
 德가	 穗가
 德血	 瀉血
 데\,	데,
 도 	도 
 도 가능	도 가능
 도 있	도 있
 도록 	도록 
 都門	 郄門
 도음	 도움
 도좋	도 좋
 督經	 腎經
 獨氣	 濁氣
 獨陰	 濁陰
 돗 하	 듯 하
 동 반	 동반
 同 方	 同方
 동 시	 동시
 疼出血	 痔出血
 되 고 	 되고 
 된 다고	된다고
 두 통	 두통
 頭 痛	 頭痛
 둥\(	 등(
 둥과	 등과
 둥과 	 등과 
 둥도	 등도
 둥에	 등에
 둥으	 등으
 둥은	 등은
 둥을	 등을 
 둥을	 등을
 둥의	 등의
 둥의 	 등의 
 둥이	 등이
 둥이 	 등이 
 들 	들 
 들도 	들도 
 들에	들에
 들에 	들에 
 들은 	들은 
 들을 	들을 
 들의 	들의 
 들이 	들이 
 듬을	 뜸을
 등 이 	 등이 
 腾中	 臍中
 디루	 다루
 디음	 다음
 때이 	 때 이 
 떨 어	 떨어
 떻	떻
 또 한 	 또한 
 뛰 	 뛰
 띠라	 따라
 라	라
 라 	라 
 라고 	라고 
 라는	라는
 라는 	라는 
 라도 	라도 
 鸾毛	 茸毛
 람	람
 랑	랑
 랫	랫
 략	략
 량	량
 런	런
 럴 	럴 
 럽	럽
 렇	렇
 려	려
 력	력
 련	련
 蓮白	 薤白
 렸	렸
 례	례
 로	로
 로 	로 
 로 한	로 한
 로\,	로,
 로는	로는
 로서 	로서 
 로써 	로써 
 록 	록 
