```
D:\dev\blog\monblue.github.io\_apps\_myApps node replaceBook.js
```

용어(한자)	동의어(한자)
總類	
傳統醫學	
中醫學	中醫
東洋醫學	
漢方	漢方醫學
韓醫學	
越醫學	
藏醫學	
蒙醫學	
維醫學	
中西醫結合	
中醫基礎理論	
中醫診斷學	
中藥學	
方劑學	
中藥炮製學	
經絡學	
輸穴學	經穴學
中醫推拿學	
中醫養生學	
中醫康復學	
中醫護理學	
溫病學	
養生	
康復	
導引	
考證學派	
後世派	
古方派	
折衷派	
李朱醫學	
體質	稟賦
體質醫學	
四象醫學	
四象人	
太陽人	
少陽人	
太陰人	
少陰人	
基礎理論	
精氣學說, 陰 陽學說, 五行 學說	
天人相應	
整體觀念	
辨證論治	
精氣學說	
陰陽學說	
陰陽	
陰	
陽	
陰中之陽	
陰中之陰	
陽中之陽	
陽中之陰	
陰陽對立	
陰陽互根	
陰陽消長	
陰陽平衡	
陰陽調和	
陰陽轉化	
陰極似陽	
陽極似陰	
五行學說	
五行	
木	
火	
土	
金	
水	
五行歸類	
(相)生	
木生火	
火生土	
土生金	
金生水	
水生木	
(相)克	
木克土	
火克金	
土克水	
水克火	
金克木	
(相)乘	
(相)侮	
五常	
制化	
亢害承制	
母氣	
子氣	
母子相及	
精, 神, 氣, 血, 津液	
精	
先天之精	
後天之精	
腎精	
神	
神	
神	
精神	
魂	
魄	
意	
志	
命門	
命門之火	先天之火
君火	
相火	
氣	
先天之氣	
後天之氣	
正氣	
眞氣	
原氣	元氣
宗氣	
衛氣	
營氣	
津氣	
臟氣	
腑氣	
心氣	
肝氣	
脾氣	
肺氣	
腎氣	
腎間動氣	
膽氣	
胃氣	
中氣	
經氣	經絡之氣
陰氣	
陽氣	
氣化	
氣機	
升降出入	
血	
營血	
津	
液	
津液	
津血同源	
精血同源	
汗	
淚	
涎	
涕	
唾	
營衛	
氣血水	
水穀	
臟腑	
臟象	
臟象學說	
臟	
腑	
臟腑	
五臟	
六腑	
陽臟	
陰臟	
心	
肝	
脾	
肺	
腎	
心包	心包絡
膽	
胃	
小腸	
大腸	
膀胱	胞
三焦	
上焦	
中焦	
下焦	
奇恒之腑	
腦	
元神之府	
髓海	
髓	
骨	
脈	
胞	
胞	胞宮, 女子胞
血室	
陰道	
心血	
心陰	
心陽	
肝血	
肝陰	
肝陽	
脾陰	
脾陽	
肺陰	
肺陽	
腎陰	
腎陽	
胃陰	
胃陽	
胃津	
神明	
血脈	
泌別淸濁	
升發	
剛臟	
疏泄	
血海	
升淸	
降濁	
運化	
生化	
嬌臟	
貯痰之器	
水之上源	
呼吸	
治節	
肅降	
宣發	
水道	
通調水道	
天癸	
生殖	
納氣	
先天	
先天之本	
膀胱氣化	
心腎相交	
心開竅于舌	
肺開竅于鼻	
脾開竅于口	
肝開竅于目	
腎開竅于耳	
肝腎同源	
經絡	
經絡	
經絡學說	
經脈	
手三陰經	
手三陽經	
足三陽經	
足三陰經	
十四經	十四經脈
十二經	十二正經, 十二經脈
手太陰肺經	
手陽明大腸經	
足陽明胃經	
足太陰脾經	
手少陰心經	
手太陽小腸經	
足太陽膀胱經	
足少陰腎經	
手厥陰心包經	
手少陽三焦經	
足少陽膽經	
足厥陰肝經	
正經	
奇經	
奇經八脈	
督脈	
任脈	
衝脈	
帶脈	
陰蹻脈	
陽蹻脈	
陰維脈	
陽維脈	
十二經別	
經別	
十二經筋	
經筋	
十二皮部	
皮部	
絡脈	
十五絡脈	
脾之大絡	
孫絡	
浮絡	
